,name,img,description
0,Brash Assault 1,https://img.game8.co/3407792/2807db8ba62367408c5b521abb291a41.png/show,"If unit initiates combat against a foe that can counter and unit\xe2\x80\x99s HP \xe2\x89\xa4 30%, unit makes a guaranteed follow-up attack."
1,Brash Assault 2,https://img.game8.co/3407793/b0dd346ca2f6d4d6020600c6587556ec.png/show,"If unit initiates combat against a foe that can counter and unit\xe2\x80\x99s HP \xe2\x89\xa4 40%, unit makes a guaranteed follow-up attack."
2,Brash Assault 3,https://img.game8.co/3407796/5279a411f7d6339ffc343c13c53584bd.png/show,"If unit initiates combat against a foe that can counter and unit\xe2\x80\x99s HP \xe2\x89\xa4 50%, unit makes a guaranteed follow-up attack."
3,Vantage 1,https://img.game8.co/3405552/48ddc945a908c7d836ea792da91eae0b.png/show,"If unit's HP \xe2\x89\xa4 25% and foe initiates combat, unit can counterattack before foe's first attack."
4,Vantage 2,https://img.game8.co/3405551/08c3ad61048cc235650eaca0c13cbd76.png/show,"If unit's HP \xe2\x89\xa4 50% and foe initiates combat, unit can counterattack before foe's first attack."
5,Vantage 3,https://img.game8.co/3405550/3e5df7e7113b8b59df4e28f6d5dab537.png/show,"If unit's HP \xe2\x89\xa4 75% and foe initiates combat, unit can counterattack before foe's first attack."
6,Quick Riposte 1,https://img.game8.co/3405767/9de95f9bc6da4709f7ba6f47c80ac8ab.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% and foe initiates combat, unit makes a guaranteed follow-up attack."
7,Quick Riposte 2,https://img.game8.co/3405765/c7a78a76b16fabee31cba27e9956ce93.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 80% and foe initiates combat, unit makes a guaranteed follow-up attack."
8,Quick Riposte 3,https://img.game8.co/3405766/e3f931a851212c1b74201429e00fb171.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% and foe initiates combat, unit makes a guaranteed follow-up attack."
9,Desperation 1,https://img.game8.co/3407636/bca6c0701e6de7439e0df1df25e0a213.png/show,"If unit's HP \xe2\x89\xa4 25% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
10,Desperation 2,https://img.game8.co/3407638/3405e07d5e2ca5fececbb8143f10d3a9.png/show,"If unit's HP \xe2\x89\xa4 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
11,Desperation 3,https://img.game8.co/3407639/7805e6245cb5ef7a4072d2ce62a8bb24.png/show,"If unit's HP \xe2\x89\xa4 75% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
12,Windsweep 1,https://img.game8.co/3405504/2460135a6a85239bebcc2d56ad32da0f.png/show,"If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit\xe2\x80\x99s Spd - foe\xe2\x80\x99s Spd \xe2\x89\xa5 5, foe can\xe2\x80\x99t counterattack."
